learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,1,0.238,0.877,1,0.686615,2
1,4,3,0.238,0.877,1,0.232758,3
2,8,5,0.201,0.881,1,0.53656,3
2,8,6,0.201,0.881,1,0.627869,7
3,10,1,0.215,0.875,1,0.250458,2
3,10,5,0.215,0.875,1,0.858551,7
3,10,6,0.215,0.875,1,0.969177,5
4,13,2,0.229,0.865,1,0.190247,5
4,13,5,0.229,0.865,1,0.238586,8
4,13,6,0.229,0.865,1,0.823425,2
4,13,10,0.229,0.865,1,0.703247,0
5,9,5,0.22,0.871,1,0.911224,0
6,19,8,0.22,0.863,1,0.446472,0
6,19,9,0.22,0.863,1,0.274139,5
6,19,15,0.22,0.863,1,0.47583,8
6,19,18,0.22,0.863,1,0.335388,2
7,8,4,0.209,0.866,1,0.447327,0
10,7,2,0.2,0.876,1,0.832214,4
12,19,1,0.221,0.877,1,0.682037,6
12,19,3,0.221,0.877,1,0.105652,9
12,19,5,0.221,0.877,1,0.709381,4
13,8,5,0.232,0.87,1,0.931732,2
15,15,6,0.218,0.879,1,0.975647,2
15,15,7,0.218,0.879,1,0.694458,5
15,15,8,0.218,0.879,1,0.715576,1
15,15,10,0.218,0.879,1,0.471802,6
15,15,13,0.218,0.879,1,0.072357,7
16,8,0,0.201,0.854,1,0.819214,5
16,8,4,0.201,0.854,1,0.651337,8
16,8,7,0.201,0.854,1,0.667816,2
17,16,1,0.22,0.885,1,0.234955,5
17,16,3,0.22,0.885,1,0.198242,2
17,16,13,0.22,0.885,1,0.101349,3
18,10,3,0.213,0.871,1,0.241272,7
18,10,4,0.213,0.871,1,0.34256,5
19,5,1,0.203,0.874,1,0.580933,5
20,16,1,0.203,0.875,1,0.929199,7
20,16,4,0.203,0.875,1,0.378113,4
20,16,7,0.203,0.875,1,0.905273,1
22,11,0,0.213,0.886,1,0.010223,7
22,11,1,0.213,0.886,1,0.0755,5
22,11,2,0.213,0.886,1,0.509949,8
22,11,5,0.213,0.886,1,0.417999,3
22,11,10,0.213,0.886,1,0.799133,2
24,12,4,0.204,0.882,1,0.01712,8
24,12,6,0.204,0.882,1,0.687225,5
25,15,0,0.222,0.878,1,0.387939,8
25,15,3,0.222,0.878,1,0.031616,5
25,15,5,0.222,0.878,1,0.189148,2
25,15,8,0.222,0.878,1,0.429596,0
25,15,10,0.222,0.878,1,0.957001,6
26,20,3,0.21,0.877,1,0.228882,5
26,20,8,0.21,0.877,1,0.272858,8
26,20,11,0.21,0.877,1,0.760559,2
26,20,12,0.21,0.877,1,0.317841,7
26,20,15,0.21,0.877,1,0.866821,3
27,10,0,0.197,0.884,1,0.81604,5
27,10,2,0.197,0.884,1,0.818695,7
27,10,6,0.197,0.884,1,0.115692,4
28,20,1,0.222,0.858,1,0.750946,2
28,20,12,0.222,0.858,1,0.362793,7
28,20,13,0.222,0.858,1,0.850525,6
28,20,17,0.222,0.858,1,0.266327,1
28,20,18,0.222,0.858,1,0.728455,5
29,20,4,0.225,0.848,1,0.147217,6
29,20,7,0.225,0.848,1,0.920654,5
29,20,12,0.225,0.848,1,0.401886,7
29,20,16,0.225,0.848,1,0.211578,2
29,20,17,0.225,0.848,1,0.629395,1
30,13,4,0.214,0.883,1,0.874603,6
30,13,7,0.214,0.883,1,0.277649,5
30,13,9,0.214,0.883,1,0.668274,8
30,13,11,0.214,0.883,1,0.331268,2
31,10,1,0.21,0.878,1,0.815948,0
31,10,4,0.21,0.878,1,0.511169,5
31,10,5,0.21,0.878,1,0.728119,7
33,22,6,0.215,0.885,1,0.067291,1
33,22,9,0.215,0.885,1,0.442749,0
33,22,10,0.215,0.885,1,0.155487,3
33,22,15,0.215,0.885,1,0.029541,8
33,22,16,0.215,0.885,1,0.581055,9
33,22,18,0.215,0.885,1,0.424164,2
33,22,19,0.215,0.885,1,0.937683,4
34,3,1,0.204,0.891,1,0.906555,0
34,3,2,0.204,0.891,1,0.878235,3
35,23,1,0.211,0.883,1,0.196777,2
35,23,5,0.211,0.883,1,0.3703,5
35,23,18,0.211,0.883,1,0.916687,4
35,23,19,0.211,0.883,1,0.24057,7
35,23,21,0.211,0.883,1,0.026886,3
36,19,3,0.226,0.864,1,0.242615,9
36,19,4,0.226,0.864,1,0.494843,0
36,19,12,0.226,0.864,1,0.390808,4
36,19,14,0.226,0.864,1,0.125763,6
38,27,1,0.186,0.87,1,0.336456,1
