learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
1,4,3,0,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.776586505
1,4,3,1,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.735360245
1,4,3,2,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.561153619
1,4,3,3,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.646139748
1,4,3,4,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.668245772
1,4,3,5,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.595739998
1,4,3,6,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.635588603
1,4,3,7,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.579655303
1,4,3,8,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.603041244
1,4,3,9,0.238,0.877,1,0.158508301,0.665893555,0.138000488,3,0.739788886
2,8,0,0,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.799298344
2,8,0,1,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.733539381
2,8,0,2,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.621352408
2,8,0,3,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.770930638
2,8,0,4,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.606496694
2,8,0,5,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.734589305
2,8,0,6,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.570432165
2,8,0,7,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.715614221
2,8,0,8,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.727356278
2,8,0,9,0.201,0.881,1,0.198760986,0.11505127,0.4246521,3,0.730655677
2,8,3,0,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.893274745
2,8,3,1,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.858682528
2,8,3,2,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.624773624
2,8,3,3,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.760942038
2,8,3,4,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.78268363
2,8,3,5,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.661815855
2,8,3,6,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.755458908
2,8,3,7,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.631473683
2,8,3,8,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.676215927
2,8,3,9,0.201,0.881,1,0.014190674,0.36428833,0.127593994,4,0.861506734
2,8,4,0,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.942998957
2,8,4,1,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.762214255
2,8,4,2,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.620937697
2,8,4,3,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.711693345
2,8,4,4,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.885972469
2,8,4,5,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.801106821
2,8,4,6,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.843950365
2,8,4,7,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.795860723
2,8,4,8,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.8328389
2,8,4,9,0.201,0.881,1,0.083557129,0.505706787,0.333465576,4,0.876201747
2,8,5,0,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.769845506
2,8,5,1,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.866970232
2,8,5,2,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.804143852
2,8,5,3,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.790418816
2,8,5,4,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.704151567
2,8,5,5,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.89435954
2,8,5,6,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.877757348
2,8,5,7,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.874822042
2,8,5,8,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.890706411
2,8,5,9,0.201,0.881,1,0.026092529,0.132904053,0.028686523,4,0.771032155
2,8,6,0,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.537991623
2,8,6,1,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.500122428
2,8,6,2,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.56400959
2,8,6,3,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.503463925
2,8,6,4,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.390035097
2,8,6,5,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.637003542
2,8,6,6,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.529895307
2,8,6,7,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.511997445
2,8,6,8,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.648478915
2,8,6,9,0.201,0.881,1,0.140319824,0.40536499,0.145874023,1,0.457930691
3,10,0,0,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.387004848
3,10,0,1,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.424077282
3,10,0,2,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.363918937
3,10,0,3,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.485700044
3,10,0,4,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.285733183
3,10,0,5,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.429876817
3,10,0,6,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.36769296
3,10,0,7,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.318579379
3,10,0,8,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.48954554
3,10,0,9,0.215,0.875,1,0.157196045,0.203430176,0.035522461,1,0.460995462
3,10,7,0,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.443502424
3,10,7,1,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.462038641
3,10,7,2,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.431959469
3,10,7,3,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.492850022
3,10,7,4,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.392866592
3,10,7,5,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.464938409
3,10,7,6,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.43384648
3,10,7,7,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.40928969
3,10,7,8,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.49477277
3,10,7,9,0.215,0.875,1,0.018707275,0.850189209,0.866210938,2,0.480497731
4,13,2,0,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.715376784
4,13,2,1,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.722932157
4,13,2,2,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.530077155
4,13,2,3,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.62190173
4,13,2,4,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.675868579
4,13,2,5,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.526990407
4,13,2,6,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.687166066
4,13,2,7,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.478311417
4,13,2,8,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.559924173
4,13,2,9,0.229,0.865,1,0.153320313,0.516693115,0.87512207,4,0.736427761
6,19,12,0,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.397120561
6,19,12,1,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.568824051
6,19,12,2,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.485350283
6,19,12,3,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.519207455
6,19,12,4,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.385113092
6,19,12,5,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.364055514
6,19,12,6,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.449625054
6,19,12,7,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.323688608
6,19,12,8,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.326735353
6,19,12,9,0.22,0.863,1,0.170410156,0.381561279,0.96270752,1,0.497829601
7,8,2,0,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.215464268
7,8,2,1,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.356361345
7,8,2,2,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.2739204
7,8,2,3,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.36082602
7,8,2,4,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.232327046
7,8,2,5,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.42122879
7,8,2,6,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.471849942
7,8,2,7,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.318488907
7,8,2,8,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.209857537
7,8,2,9,0.209,0.866,1,0.063659668,0.181030273,0.529174805,0,0.324379613
7,8,4,0,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.113057134
7,8,4,1,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.183475882
7,8,4,2,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.148675374
7,8,4,3,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.186975329
7,8,4,4,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.254759713
7,8,4,5,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.215235949
7,8,4,6,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.292636031
7,8,4,7,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.16341577
7,8,4,8,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.125140266
7,8,4,9,0.209,0.866,1,0.056488037,0.031280518,0.543914795,0,0.338874361
8,10,2,0,0.223,0.887,1,0.178100586,0.29296875,0.317687988,3,0.517096398
8,10,2,1,0.223,0.887,1,0.178100586,0.29296875,0.317687988,3,0.384379969
8,10,2,2,0.223,0.887,1,0.178100586,0.29296875,0.317687988,3,0.354025981
8,10,2,3,0.223,0.887,1,0.178100586,0.29296875,0.317687988,3,0.385231075
8,10,2,4,0.223,0.887,1,0.178100586,0.29296875,0.317687988,3,0.580201054
8,10,2,5,0.223,0.887,1,0.178100586,0.29296875,0.317687988,3,0.507057664
8,10,2,6,0.223,0.887,1,0.178100586,0.29296875,0.317687988,3,0.540275995
8,10,2,7,0.223,0.887,1,0.178100586,0.29296875,0.317687988,3,0.497174985
8,10,2,8,0.223,0.887,1,0.178100586,0.29296875,0.317687988,3,0.515796867
